Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Cereals,1987/02/01,14231,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/03/01,14238,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/04/01,14382,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/05/01,14404,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/06/01,14564,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/07/01,14573,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/08/01,14750,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/09/01,14755,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/10/01,14797,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/11/01,14845,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/12/01,14972,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/01/01,15089,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/02/01,15241,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/03/01,15579,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/04/01,15620,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/05/01,15792,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/06/01,15841,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/07/01,16104,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/08/01,16346,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/09/01,16346,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/10/01,16505,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/11/01,16665,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1988/12/01,16652,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/01/01,16976,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/02/01,17091,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/03/01,17152,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/04/01,17223,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/05/01,17465,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/06/01,17539,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/07/01,17676,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/08/01,17823,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/09/01,18056,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/10/01,18084,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/11/01,18287,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1989/12/01,18585,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/01/01,18603,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/02/01,18907,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/03/01,19203,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/04/01,19212,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/05/01,19321,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/06/01,19623,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/07/01,19610,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/08/01,19738,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/09/01,20022,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1990/10/01,19787,2023/08/30 08:26:00
